Word,Few_Raters,Prototypicality_Mean,Prototypicality_SD,Prototypicality_NRaters,Prototypicality_%Raters,Valence_Mean,Valence_SD,Valence_NRaters,Valence_%Raters,Valence_Source,Arousal_Mean,Arousal_SD,Arousal_NRaters,Arousal_%Raters,Arousal_Source,Happiness_Mean,Happiness_SD,Happiness_NRaters,Happiness_%Raters,Happiness_Source,Disgust_Mean,Disgust_SD,Disgust_NRaters,Disgust_%Raters,Disgust_Source,Anger_Mean,Anger_SD,Anger_NRaters,Anger_%Raters,Anger_Source,Fear_Mean,Fear_SD,Fear_NRaters,Fear_%Raters,Fear_Source,Sadness_Mean,Sadness_SD,Sadness_NRaters,Sadness_%Raters,Sadness_Source,AoA_Mean,AoA_SD,AoA_NRaters,AoA_%Raters,AoA_Source,Concreteness_Mean,Concreteness_SD,Concreteness_NRaters,Concreteness_%Raters,Concreteness_Source,Zipf_EsPal,POS,Emotionality,Family,Very_related_emotions,Pure_word,Dominant_emotion,Emotional_exclusivity
aborrecer,,2.14,1.53,21,1.00,3.35,1.72,26,1.00,NEW,2.52,1.81,26,0.96,NEW,1.26,0.45,20,0.95,NEW,2.35,1.39,20,1.00,NEW,2.89,1.29,21,0.90,NEW,2.29,1.27,22,0.95,NEW,3.00,1.52,21,0.95,NEW,9.14,2.03,21,1.00,NEW,4.72,1.57,25,1.00,NEW,2.83,VERB,1.65,aborrecer,1,1,sadness,0.256
aborrecido,,2.68,1.32,22,1.00,2.60,1.05,20,1.00,NEW,5.55,2.54,22,1.00,NEW,1.25,0.44,20,1.00,NEW,2.20,1.47,20,1.00,NEW,2.70,1.26,21,0.95,NEW,2.11,1.33,20,0.95,NEW,2.32,1.00,20,0.95,NEW,9.24,2.10,21,1.00,NEW,4.00,1.85,25,1.00,NEW,2.86,ADJECTIVE,2.40,aborrecer,0,0,anger,0.260
aborrecimiento,,2.18,1.50,22,1.00,2.20,1.01,20,1.00,NEW,5.42,2.17,24,1.00,NEW,1.26,0.45,20,0.95,NEW,2.09,1.34,23,0.96,NEW,1.90,0.97,20,1.00,NEW,1.95,1.24,21,1.00,NEW,3.25,1.21,20,1.00,NEW,9.96,1.54,50,#NA,Alonso2015,4.05,1.90,20,0.95,NEW,2.81,NOUN,2.80,aborrecer,1,1,sadness,0.364
abrumado,,3.24,1.48,22,0.95,3.90,1.48,20,1.00,Stadthagen-Gonzalez2017,6.50,1.55,20,1.00,Stadthagen-Gonzalez2017,1.50,0.97,30,#NA,Ferré2017,1.27,0.78,30,#NA,Ferré2017,2.27,1.41,30,#NA,Ferré2017,2.50,1.25,30,#NA,Ferré2017,2.67,1.45,30,#NA,Ferré2017,9.54,1.81,50,#NA,Alonso2015,4.38,1.86,21,1.00,NEW,3.24,ADJECTIVE,1.10,abrumar,0,0,sadness,0.269
abrumarse,,2.90,1.33,22,0.91,4.35,1.63,20,1.00,NEW,6.64,1.68,22,1.00,NEW,1.63,0.90,20,0.95,NEW,1.80,1.11,20,1.00,NEW,2.25,1.06,21,0.76,NEW,2.39,1.24,20,0.90,NEW,2.18,1.01,20,0.85,NEW,10.26,1.63,23,1.00,NEW,3.74,1.79,23,1.00,NEW,1.11,VERB,0.65,abrumar,0,0,fear,0.144
aburrido,,2.64,1.53,22,1.00,2.90,1.29,20,1.00,Stadthagen-Gonzalez2017,3.10,1.83,20,1.00,Stadthagen-Gonzalez2017,1.03,0.18,30,#NA,Ferré2017,1.33,0.88,30,#NA,Ferré2017,1.40,0.77,30,#NA,Ferré2017,1.17,0.53,30,#NA,Ferré2017,2.90,1.49,30,#NA,Ferré2017,4.82,2.07,50,#NA,Alonso2015,4.86,1.65,21,1.00,NEW,3.60,ADJECTIVE,2.10,aburrir,0,0,sadness,0.661
aburrimiento,,2.95,1.24,21,1.00,2.70,1.26,20,1.00,Stadthagen-Gonzalez2017,3.80,2.09,20,1.00,Stadthagen-Gonzalez2017,1.10,0.31,20,1.00,Stadthagen-Gonzalez2018,2.35,1.31,20,1.00,Stadthagen-Gonzalez2018,2.05,1.15,20,1.00,Stadthagen-Gonzalez2018,1.95,1.19,20,1.00,Stadthagen-Gonzalez2018,3.05,1.23,20,1.00,Stadthagen-Gonzalez2018,5.38,1.74,50,#NA,Alonso2015,4.48,#NA,#NA,#NA,Duchon2013,3.53,NOUN,2.30,aburrir,1,1,sadness,0.355
aburrirse,,3.19,1.21,21,1.00,2.95,1.64,20,1.00,NEW,2.60,1.88,20,1.00,NEW,1.40,0.60,20,1.00,NEW,2.33,1.39,27,1.00,NEW,1.90,0.94,21,1.00,NEW,1.40,0.94,20,1.00,NEW,2.60,1.27,20,1.00,NEW,4.33,1.77,21,1.00,NEW,4.62,1.63,21,1.00,NEW,2.74,VERB,2.05,aburrir,0,0,sadness,0.259
acalorado,,1.29,0.56,21,1.00,4.04,1.48,26,1.00,NEW,3.81,1.58,26,1.00,NEW,1.95,1.10,20,1.00,NEW,2.30,1.08,20,1.00,NEW,2.76,1.34,21,1.00,NEW,1.91,1.23,22,1.00,NEW,1.95,0.86,21,1.00,NEW,7.81,1.72,21,1.00,NEW,4.77,1.38,22,1.00,NEW,2.90,ADJECTIVE,0.96,calor,0,0,anger,0.145
acalorarse,,2.38,1.36,21,1.00,4.80,1.77,20,1.00,NEW,6.82,1.76,22,1.00,NEW,2.20,1.20,20,1.00,NEW,2.35,1.14,20,1.00,NEW,2.24,1.18,21,1.00,NEW,1.65,0.81,20,1.00,NEW,1.40,0.75,20,1.00,NEW,8.14,2.39,21,1.00,NEW,4.48,1.56,23,1.00,NEW,1.72,VERB,0.20,calor,0,0,disgust,0.196
